STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00131442,"CHEROKEE, IA US",15/11/1960,0,0,0,15,2.8
USC00131442,"CHEROKEE, IA US",16/11/1960,0.8,0,0,8.3,0
USC00131442,"CHEROKEE, IA US",17/11/1960,0,0,0,10.6,-6.1
USC00131442,"CHEROKEE, IA US",18/11/1960,0,0,0,6.7,-7.8
USC00131442,"CHEROKEE, IA US",19/11/1960,0,0,0,13.9,-0.6
USC00131442,"CHEROKEE, IA US",20/11/1960,0,0,0,14.4,-7.8
USC00131442,"CHEROKEE, IA US",21/11/1960,0,0,0,17.2,1.1
USC00131442,"CHEROKEE, IA US",22/11/1960,0,0,0,15.6,-0.6
USC00131442,"CHEROKEE, IA US",23/11/1960,0,0,0,8.3,-8.9
USC00131442,"CHEROKEE, IA US",24/11/1960,0,0,0,11.1,-1.1
USC00131442,"CHEROKEE, IA US",25/11/1960,0,0,0,21.7,-1.1
USC00131442,"CHEROKEE, IA US",26/11/1960,0,0,0,15.6,4.4
USC00131442,"CHEROKEE, IA US",27/11/1960,0,0,0,13.9,-2.8
USC00131442,"CHEROKEE, IA US",28/11/1960,12.7,0,0,6.1,-7.8
USC00131442,"CHEROKEE, IA US",29/11/1960,0,0,0,-5,-10
USC00131442,"CHEROKEE, IA US",30/11/1960,0,0,0,-5,-13.9
USC00131442,"CHEROKEE, IA US",01/12/1960,0,0,0,0,-18.9
USC00131442,"CHEROKEE, IA US",02/12/1960,0,0,0,8.9,-3.3
USC00131442,"CHEROKEE, IA US",03/12/1960,0,0,0,10,-1.7
USC00131442,"CHEROKEE, IA US",04/12/1960,0,0,0,11.7,4.4
USC00131442,"CHEROKEE, IA US",05/12/1960,0.8,0,0,11.1,-2.2
USC00131442,"CHEROKEE, IA US",06/12/1960,0,0,0,-1.7,-8.3
